@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute t0_avg numeric
@attribute t1_avg numeric
@attribute t2_avg numeric
@attribute t3_avg numeric
@attribute a0_avg numeric
@attribute a1_avg numeric
@attribute a2_avg numeric
@attribute a3_avg numeric
@attribute b0_avg numeric
@attribute b1_avg numeric
@attribute b2_avg numeric
@attribute b3_avg numeric
@attribute g0_avg numeric
@attribute g1_avg numeric
@attribute g2_avg numeric
@attribute g3_avg numeric
@attribute mood {0,1,2,3}
@attribute facialExpression {0,1,2,3}

@data
1,'2018/09/14 15:06:29:196',1,0.219178,-0.529152,-0.557167,0.209851,1.137997,-0.244857,-0.146332,0.73879,0.145554,-0.527158,-0.328181,0.259965,-0.174264,-0.963746,-0.715477,-0.105861,1,?
2,'2018/09/14 15:06:33:676',2,-0.068868,-0.378318,-0.245441,0.070806,1.040975,0.029172,-0.040517,0.917659,0.304277,-0.461031,-0.409727,0.252393,-0.249196,-0.988817,-0.835487,-0.038869,1,?
3,'2018/09/14 15:06:34:828',3,0.155897,-0.584224,-0.525387,0.33537,0.989476,-0.12407,-0.443977,0.817556,0.233994,-0.498906,-0.5965,0.104185,-0.327189,-0.933446,-0.6965,-0.357372,1,?
4,'2018/09/14 15:06:34:828',3,0.160303,-0.59553,-0.537589,0.334601,0.994287,-0.13666,-0.443558,0.820034,0.23054,-0.496012,-0.59813,0.097105,-0.323524,-0.923963,-0.695753,-0.35674,1,?
5,'2018/09/14 15:06:36:359',4,0.168943,-0.211359,-0.34096,0.010616,0.962194,-0.194372,0.032826,0.833629,0.062471,-0.436816,-0.47021,0.041237,-0.199045,-0.835243,-0.873844,-0.118485,1,?
6,'2018/09/14 15:06:36:743',5,0.199787,-0.235626,-0.338058,0.02359,0.831593,-0.298417,0.032826,0.857795,0.033482,-0.50677,-0.458576,0.048566,-0.265124,-0.932301,-0.916155,-0.181285,1,?
7,'2018/09/14 15:06:37:193',6,0.227054,-0.355966,-0.449098,0.011488,0.844997,-0.361104,0.03017,0.881064,0.087158,-0.579809,-0.514572,0.120022,-0.276616,-1.114278,-0.883585,-0.169643,1,?
8,'2018/09/14 15:06:37:558',7,0.313285,-0.44362,-0.624585,0.136236,0.812041,-0.373526,-0.141628,0.92429,0.085112,-0.702504,-0.504245,0.177489,-0.226642,-1.10974,-0.851183,-0.187344,1,?
9,'2018/09/14 15:06:37:859',8,0.386452,-0.57975,-0.773715,0.211718,0.809272,-0.375887,-0.39281,0.925289,0.113903,-0.813741,-0.508151,0.18956,-0.242295,-1.064839,-0.863397,-0.251262,1,?
10,'2018/09/14 15:06:38:191',10,0.377172,-0.676863,-0.835109,0.185641,0.774336,-0.454915,-0.393077,0.884599,0.146931,-0.837471,-0.547289,0.196345,-0.234342,-1.012435,-0.899048,-0.280527,1,?
11,'2018/09/14 15:06:38:509',11,0.377503,-0.673588,-0.795613,0.241477,0.741304,-0.464171,-0.224722,0.880252,0.149818,-0.858533,-0.544291,0.161434,-0.238727,-0.946633,-0.889192,-0.24399,1,?
12,'2018/09/14 15:06:38:693',12,0.39086,-0.683136,-0.743803,0.332931,0.717179,-0.419587,-0.080991,0.881357,0.142949,-0.846403,-0.535983,0.136269,-0.24256,-0.90004,-0.855134,-0.215982,1,?
13,'2018/09/14 15:06:38:858',13,0.381099,-0.660453,-0.677703,0.381974,0.692122,-0.370934,-0.05279,0.878682,0.14812,-0.813555,-0.529197,0.127778,-0.213598,-0.865375,-0.832752,-0.176622,1,?
14,'2018/09/14 15:06:39:026',14,0.301159,-0.560304,-0.581468,0.379534,0.636694,-0.365284,-0.038,0.87882,0.171588,-0.755523,-0.536937,0.123351,-0.142757,-0.83146,-0.807193,-0.1116,1,?
15,'2018/09/14 15:06:39:191',15,0.212616,-0.487891,-0.533619,0.348197,0.654795,-0.364267,-0.038155,0.86738,0.173877,-0.719363,-0.556941,0.118403,-0.101857,-0.825623,-0.782391,-0.078765,1,?
16,'2018/09/14 15:06:39:358',16,0.187574,-0.394313,-0.381013,0.36664,0.807331,-0.336034,-0.020989,0.954892,0.145272,-0.687731,-0.562931,0.117697,-0.086237,-0.822321,-0.749908,-0.058071,1,?
17,'2018/09/14 15:06:39:542',17,0.330595,-0.094681,0.029957,0.546014,1.098079,-0.221918,0.204052,1.179871,0.10665,-0.639135,-0.530827,0.136583,-0.080489,-0.798172,-0.720877,-0.022903,1,?
18,'2018/09/14 15:06:39:691',18,0.59698,0.225376,0.378507,0.809915,1.196642,-0.024183,0.305122,1.247823,0.08651,-0.572829,-0.459849,0.172056,-0.068888,-0.75199,-0.700221,0.020747,1,?
