@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute t0_avg numeric
@attribute t1_avg numeric
@attribute t2_avg numeric
@attribute t3_avg numeric
@attribute a0_avg numeric
@attribute a1_avg numeric
@attribute a2_avg numeric
@attribute a3_avg numeric
@attribute b0_avg numeric
@attribute b1_avg numeric
@attribute b2_avg numeric
@attribute b3_avg numeric
@attribute g0_avg numeric
@attribute g1_avg numeric
@attribute g2_avg numeric
@attribute g3_avg numeric
@attribute mood {0,1,2,3}
@attribute facialExpression {0,1,2,3}

@data
8073,'2018/08/17 13:18:55:248',16285,0.140625,-0.710897,-0.543908,-0.055216,0.628189,-0.331349,-0.264833,0.591884,0.248385,-0.622627,-0.618923,0.242375,-0.102134,-0.816087,-0.693596,0.003197,1,1
8074,'2018/08/17 13:18:55:248',16285,0.126859,-0.70915,-0.522325,-0.045691,0.62821,-0.330213,-0.258412,0.592791,0.255122,-0.620685,-0.620803,0.248182,-0.095151,-0.820497,-0.69283,0.00766,1,1
8075,'2018/08/17 13:18:55:274',16289,0.113093,-0.707403,-0.500742,-0.036165,0.62823,-0.329076,-0.251992,0.593699,0.261859,-0.618743,-0.622682,0.25399,-0.088168,-0.824907,-0.692065,0.012123,1,1
8076,'2018/08/17 13:18:55:290',16291,0.099327,-0.705656,-0.479159,-0.02664,0.62825,-0.32794,-0.245571,0.594606,0.268595,-0.616801,-0.624562,0.259797,-0.081185,-0.829317,-0.6913,0.016586,1,1
8077,'2018/08/17 13:18:55:307',16293,0.085561,-0.703909,-0.457576,-0.017114,0.628271,-0.326804,-0.239151,0.595514,0.275332,-0.614859,-0.626442,0.265605,-0.074202,-0.833727,-0.690535,0.021049,1,1
8078,'2018/08/17 13:18:55:324',16295,0.074474,-0.704616,-0.444095,-0.010715,0.627529,-0.327012,-0.240263,0.596092,0.27945,-0.61071,-0.625464,0.269647,-0.067438,-0.835466,-0.686447,0.026844,1,1
8079,'2018/08/17 13:18:55:341',16297,0.063386,-0.705323,-0.430615,-0.004315,0.626786,-0.32722,-0.241376,0.596671,0.283569,-0.606561,-0.624486,0.273689,-0.060674,-0.837204,-0.68236,0.03264,1,1
8080,'2018/08/17 13:18:55:357',16301,0.052299,-0.70603,-0.417134,0.002084,0.626044,-0.327428,-0.242488,0.597249,0.287688,-0.602411,-0.623508,0.277732,-0.053909,-0.838943,-0.678272,0.038436,1,1
8081,'2018/08/17 13:18:55:373',16301,0.041212,-0.706738,-0.403653,0.008484,0.625302,-0.327636,-0.243601,0.597827,0.291807,-0.598262,-0.62253,0.281774,-0.047145,-0.840682,-0.674185,0.044232,1,1
8082,'2018/08/17 13:18:55:390',16303,0.035949,-0.707061,-0.398038,0.011317,0.624539,-0.327758,-0.245293,0.59788,0.29355,-0.595773,-0.621721,0.283633,-0.040381,-0.84242,-0.670097,0.050027,1,1
8083,'2018/08/17 13:18:55:407',16305,0.030686,-0.707385,-0.392422,0.01415,0.623776,-0.32788,-0.246985,0.597933,0.295292,-0.593284,-0.620912,0.285491,-0.036963,-0.842711,-0.667755,0.053196,1,1
8084,'2018/08/17 13:18:55:423',16307,0.025424,-0.707708,-0.386807,0.016983,0.623013,-0.328002,-0.248677,0.597987,0.297035,-0.590794,-0.620103,0.28735,-0.033545,-0.843003,-0.665412,0.056365,1,1
8085,'2018/08/17 13:18:55:440',16309,0.020161,-0.708032,-0.381191,0.019816,0.622251,-0.328124,-0.250369,0.59804,0.298778,-0.588305,-0.619294,0.289208,-0.030127,-0.843294,-0.66307,0.059534,1,1
8086,'2018/08/17 13:18:55:456',16311,0.011251,-0.70725,-0.371678,0.024215,0.62343,-0.330272,-0.250952,0.598093,0.301119,-0.583501,-0.617807,0.292284,-0.024065,-0.842767,-0.659068,0.065629,1,1
8087,'2018/08/17 13:18:55:473',16313,0.002341,-0.706469,-0.362165,0.028614,0.624609,-0.33242,-0.251535,0.598146,0.30346,-0.578697,-0.61632,0.29536,-0.018004,-0.84224,-0.655066,0.071723,1,1
8088,'2018/08/17 13:18:55:489',16315,-0.001306,-0.705364,-0.358267,0.03018,0.62655,-0.334446,-0.250426,0.598146,0.304058,-0.576382,-0.615642,0.296577,-0.015361,-0.841422,-0.653407,0.074649,1,1
8089,'2018/08/17 13:18:55:506',16317,-0.004954,-0.704259,-0.35437,0.031746,0.628492,-0.336472,-0.249317,0.598146,0.304656,-0.574066,-0.614964,0.297795,-0.012718,-0.840603,-0.651747,0.077574,1,1
8090,'2018/08/17 13:18:55:524',16321,-0.008601,-0.703154,-0.350472,0.033312,0.630434,-0.338497,-0.248208,0.598146,0.305254,-0.571751,-0.614286,0.299012,-0.010075,-0.839785,-0.650088,0.0805,1,1
8091,'2018/08/17 13:18:55:539',16321,-0.012248,-0.702049,-0.346575,0.034877,0.632376,-0.340523,-0.247099,0.598146,0.305852,-0.569436,-0.613607,0.30023,-0.007432,-0.838967,-0.648428,0.083425,1,1
